year;code;city;type;GDP;GDPPC
2010;1100015;Alta Floresta D'Oeste;Centro Local;262076,878;10731,18
2010;1100023;Ariquemes;Centro Subregional;1364693,78;15103,86
2010;1100031;Cabixi;Centro Local;69611,114;11033,62
2010;1100049;Cacoal;Centro Subregional;1186494,091;15095,15
2010;1100056;Cerejeiras;Centro de Zona;222021,189;13037,06
2010;1100064;Colorado do Oeste;Centro Local;193092,596;10380,21
2010;1100072;Corumbiara;Centro Local;114768,272;13038,89
2010;1100080;Costa Marques;Centro Local;107583,052;7852,78
2010;1100098;Espigão D'Oeste;Centro Local;311787,835;10848,19
2010;1100106;Guajará-Mirim;Centro de Zona;598167,052;14363,13
2010;1100114;Jaru;Centro de Zona;797296,433;15319,96
2010;1100122;Ji-Paraná;Centro Subregional;1855358,695;15913,94
2010;1100130;Machadinho D'Oeste;Centro Local;272200,914;8750,47
2010;1100148;Nova Brasilândia D'Oeste;Centro Local;173651,29;8750,38
2010;1100155;Ouro Preto do Oeste;Centro de Zona;477501,323;12585,36
2010;1100189;Pimenta Bueno;Centro Local;540861,562;16023,63
2010;1100205;Porto Velho;Capital Regional;9093823,824;21319,08
2010;1100254;Presidente Médici;Centro Local;235588,861;10555,53
2010;1100262;Rio Crespo;Centro Local;41934,024;12645,97
2010;1100288;Rolim de Moura;Centro de Zona;627848,22;12390,44
2010;1100296;Santa Luzia D'Oeste;Centro Local;98818,321;11120,68
2010;1100304;Vilhena;Centro Subregional;1447187,301;18995,2
2010;1100320;São Miguel do Guaporé;Centro Local;324475,914;14867,85
2010;1100338;Nova Mamoré;Centro Local;218431,236;9685,67
2010;1100346;Alvorada D'Oeste;Centro Local;160688,809;9528,51
2010;1100379;Alto Alegre dos Parecis;Centro Local;119974,008;9353,97
2010;1100403;Alto Paraíso;Centro Local;152235,166;8879,79
2010;1100452;Buritis;Centro Local;336264,863;10383,35
2010;1100502;Novo Horizonte do Oeste;Centro Local;95420,086;9321,1
2010;1100601;Cacaulândia;Centro Local;76700,806;13392,84
2010;1100700;Campo Novo de Rondônia;Centro Local;120440,101;9506,68
2010;1100809;Candeias do Jamari;Centro Local;228321,486;11541,88
2010;1100908;Castanheiras;Centro Local;39936,323;11152,28
2010;1100924;Chupinguaia;Centro Local;165716,351;19956,21
2010;1100940;Cujubim;Centro Local;210217,76;13243,73
2010;1101005;Governador Jorge Teixeira;Centro Local;111130,032;10570,72
2010;1101104;Itapuã do Oeste;Centro Local;90690,484;10593,45
2010;1101203;Ministro Andreazza;Centro Local;99692,423;9628,4
2010;1101302;Mirante da Serra;Centro Local;114868,695;9678,04
2010;1101401;Monte Negro;Centro Local;143416,702;10178,62
2010;1101435;Nova União;Centro Local;70738,614;9434,33
2010;1101450;Parecis;Centro Local;49986,237;10392,15
2010;1101468;Pimenteiras do Oeste;Centro Local;43812,047;18868,24
2010;1101476;Primavera de Rondônia;Centro Local;35105,453;9964,65
2010;1101484;São Felipe D'Oeste;Centro Local;58726,974;9758,55
2010;1101492;São Francisco do Guaporé;Centro Local;173609,634;10837,73
2010;1101500;Seringueiras;Centro Local;117280,833;10067,89
2010;1101559;Teixeirópolis;Centro Local;50001,145;10218,91
2010;1101609;Theobroma;Centro Local;105535,46;9915,02
2010;1101708;Urupá;Centro Local;121359,369;9357,65
2010;1101757;Vale do Anari;Centro Local;91480,288;9772,49
2010;1101807;Vale do Paraíso;Centro Local;89262,956;10861,88
2010;1200013;Acrelândia;Centro Local;121914,728;9723,62
2010;1200054;Assis Brasil;Centro Local;42017,446;6916,45
