"CODIGO";"NOME";"POP";"ANO";"COD_MICRO";"NOM_MICRO";"POP_MICRO";"MICRO_AREA"
1100015;"Alta Floresta D'Oeste";24228;2011;11006;"Cacoal";228434;24526,327
1100379;"Alto Alegre dos Parecis";12824;2011;11006;"Cacoal";228434;24526,327
1100403;"Alto Paraíso";17443;2011;11003;"Ariquemes";173614;24333,565
1100346;"Alvorada D'Oeste";16624;2011;11005;"Alvorada D'Oeste";70008;15965,921
1100023;"Ariquemes";91570;2011;11003;"Ariquemes";173614;24333,565
1100452;"Buritis";32898;2011;11001;"Porto Velho";550089;65659,813
1100031;"Cabixi";6221;2011;11008;"Colorado do Oeste";52451;14623,767
1100601;"Cacaulândia";5764;2011;11003;"Ariquemes";173614;24333,565
1100049;"Cacoal";78958;2011;11006;"Cacoal";228434;24526,327
1100700;"Campo Novo de Rondônia";12757;2011;11001;"Porto Velho";550089;65659,813
1100809;"Candeias do Jamari";20291;2011;11001;"Porto Velho";550089;65659,813
1100908;"Castanheiras";3526;2011;11006;"Cacoal";228434;24526,327
1100056;"Cerejeiras";16939;2011;11008;"Colorado do Oeste";52451;14623,767
1100924;"Chupinguaia";8514;2011;11007;"Vilhena";134735;26762,831
1100064;"Colorado do Oeste";18338;2011;11008;"Colorado do Oeste";52451;14623,767
1100072;"Corumbiara";8654;2011;11008;"Colorado do Oeste";52451;14623,767
1100080;"Costa Marques";14022;2011;11002;"Guajará-Mirim";72295;40802,668
1100940;"Cujubim";16569;2011;11001;"Porto Velho";550089;65659,813
1100098;"Espigão D'Oeste";28962;2011;11006;"Cacoal";228434;24526,327
1101005;"Governador Jorge Teixeira";10272;2011;11004;"Ji-Paraná";294797;25090,401
1100106;"Guajará-Mirim";41933;2011;11002;"Guajará-Mirim";72295;40802,668
1101104;"Itapuã do Oeste";8700;2011;11001;"Porto Velho";550089;65659,813
1100114;"Jaru";51883;2011;11004;"Ji-Paraná";294797;25090,401
1100122;"Ji-Paraná";117363;2011;11004;"Ji-Paraná";294797;25090,401
1100130;"Machadinho D'Oeste";31779;2011;11003;"Ariquemes";173614;24333,565
1101203;"Ministro Andreazza";10276;2011;11006;"Cacoal";228434;24526,327
1101302;"Mirante da Serra";11780;2011;11004;"Ji-Paraná";294797;25090,401
1101401;"Monte Negro";14203;2011;11003;"Ariquemes";173614;24333,565
1100148;"Nova Brasilândia D'Oeste";19882;2011;11005;"Alvorada D'Oeste";70008;15965,921
1100338;"Nova Mamoré";23142;2011;11001;"Porto Velho";550089;65659,813
1101435;"Nova União";7436;2011;11004;"Ji-Paraná";294797;25090,401
