code;name;city;state;type;uf_code
SBRB;Plácido de Castro;Rio Branco;Acre;Público;12
SNGA;Guarapari;Guarapari;Espírito Santo;Público;32
SBIZ;Prefeito Renato Moreira;Imperatriz;Maranhão;Público;21
SBPC;Embaixador Walther Moreira Salles;Poços de Caldas;Minas Gerais;Público;31
SSCD;Chapadão do Sul;Chapadão do Sul;Mato Grosso do Sul;Público;50
SBBE;Aeroporto Internacional de Bélem;Belém;Pará;Público;15
SBJP;Internacional Presidente Castro Pinto;João Pessoa;Paraíba;Público;25
SBKG;Presidente João Suassuna;Campina Grande;Paraíba;Público;25
SBMG;Silvio Name Júnior;Maringá;Paraná;Público;41
SBCA;Coronel Adalberto Mendes da Silva;Cascavel;Paraná;Público;41
SSNG;Montenegro;Montenegro;Rio Grande do Sul;Público;43
SBAE;Aeroporto Estadual de Bauru-Arealva;Bauru;São Paulo;Público;35
SBJI;Ji-Paraná;Ji-Paraná;Rondônia;Público;11
SIMK;Tenente Lund Pressoto;Franca;São Paulo;Público;35
SBML;Frank Miloye Milenkovich;Marília;São Paulo;Público;35
SNWC;Camocim;Camocim;Ceará;Público;23
SSKM;Campo Mourão;Campo Mourão;Paraná;Público;41
SWNS;Anápolis;Anápolis;Goiás;Público;52
SNGX;Guaxupé;Guaxupé;Minas Gerais;Público;31
SBGL;Galeão - Antônio Carlos Jobim;Rio de Janeiro;Rio de Janeiro;Público;33
SBCF;Tancredo Neves;Belo Horizonte;Minas Gerais;Público;31
SNIC;Irecê;Irecê;Bahia;Público;29
SNKI;Aeródromo de Cachoeiro do Itapemirim;Cachoeiro de Itapemirim;Espírito Santo;Público;32
SBDB;Aeródromo Público de Bonito;Bonito;Mato Grosso do Sul;Público;50
SBPP;Ponta Porã - Internacional;Ponta Porã;Mato Grosso do Sul;Público;50
SNTS;Patos;Patos;Paraíba;Público;25
SBCX;Hugo Cantergiani;Caxias do Sul;Rio Grande do Sul;Público;43
SBBG;Comandante Gustavo Kraemer;Bagé;Rio Grande do Sul;Público;43
SSCN;Canela;Canela;Rio Grande do Sul;Público;43
SSIM;Forquilhinha-Criciúma;Forquilhinha;Santa Catarina;Público;42
SDDN;Paulino Ribeiro de Andrade;Andradina;São Paulo;Público;35
SDPW;Pedro Morganti;Piracicaba;São Paulo;Público;35
SSKU;Lauro Antônio da Costa;Curitibanos;Santa Catarina;Público;42
SSAP;Capitão João Busse;Apucarana;Paraná;Público;41
SBPA;Salgado Filho;Porto Alegre;Rio Grande do Sul;Público;43
SBNM;Santo Ângelo;Santo Ângelo;Rio Grande do Sul;Público;43
SNAL;Arapiraca;Arapiraca;Alagoas;Público;27
SWPZ;Ouriçanga de Abreu;Posse;Goiás;Público;52
SBSV;Deputado Luis Eduardo Magalhães-Intl;Salvador;Bahia;Público;29
SBJH;São Paulo Catarina Aeroporto Executivo;São Roque;São Paulo;Público;35
SBSO;Regional de Sorriso Adolino Bedin;Sorriso;Mato Grosso;Público;51
SBGR;Guarulhos - Governador André Franco Montoro;Guarulhos;São Paulo;Público;35
SNBR;Barreiras;Barreiras;Bahia;Público;29
SNTF;Teixeira de Freitas;Teixeira de Freitas;Bahia;Público;29
SBAC;Aeroporto Regional de Acarati;Aracati;Ceará;Público;23
SBVT;Eurico de Aguiar Salles;Vitória;Espírito Santo;Público;32
SBSL;Marechal Cunha Machado Internacional;São Luís;Maranhão;Público;21
SBZM;Presidente Itamar Franco;Goianá;Minas Gerais;Público;31
SBAT;Aeroporto Piloto Osvaldo Marques Dias;Alta Floresta;Mato Grosso;Público;51
SBTD;Luiz Dalcanale Filho;Toledo;Paraná;Público;41
SWPM;Pimenta Bueno;Pimenta Bueno;Rondônia;Público;11
SNAX;Marcelo Pires Halzhausen;Assis;São Paulo;Público;35
SBBU;Bauru;Bauru;São Paulo;Público;35
SDDR;Dracena;Dracena;São Paulo;Público;35
SBJD;Comandante Rolim Adolfo Amaro;Jundiaí;São Paulo;Público;35
SNFU;Frutal;Frutal;Minas Gerais;Público;31
SBCZ;Cruzeiro do Sul / Cruzeiro do Sul - Internacional;Cruzeiro do Sul;Acre;Público;12
SBFI;Cataratas;Foz do Iguaçu;Paraná;Público;41
SBTF;Tefé;Tefé;Amazonas;Público;13
SWPI;Parintins;Parintins;Amazonas;Público;13
SBJU;Orlando Bezerra Menezes;Juazeiro do Norte;Ceará;Público;23
SBMK;Aeródromo Público Mário Ribeiro;Montes Claros;Minas Gerais;Público;31
SBAX;Romeu Zema;Araxá;Minas Gerais;Público;31
SNOS;José Figueiredo;Passos;Minas Gerais;Público;31
SBCG;Campo Grande Internacional;Campo Grande;Mato Grosso do Sul;Público;50
SBRD;Rondonópolis;Rondonópolis;Mato Grosso;Público;51
SNHS;Santa Magalhães;Serra Talhada;Pernambuco;Público;26
SNGN;Garanhuns;Garanhuns;Pernambuco;Público;26
SNAE;Arcoverde;Arcoverde;Pernambuco;Público;26
SBME;Macaé;Macaé;Rio de Janeiro;Público;33
SDPN;Aeroporto Estadual Dr. Ramalho Franco;Penápolis;São Paulo;Público;35
SDJV;Municipal de São João da Boa Vista;São João da Boa Vista;São Paulo;Público;35
SDNO;Nelson Garófalo;São Manuel;São Paulo;Público;35
SWLC;General Leite de Castro;Rio Verde;Goiás;Público;52
SBKP;Viracopos;Campinas;São Paulo;Público;35
SJRG;Regional de Rio Grande;Rio Grande;Rio Grande do Sul;Público;43
SNXB;Caxambu;Caxambu;Minas Gerais;Público;31
SBFL;Hercílio Luz;Florianópolis;Santa Catarina;Público;42
SBPG;Comandante Antônio Amilton Beraldo;Ponta Grossa;Paraná;Público;41
SBUF;Paulo Afonso;Paulo Afonso;Bahia;Público;29
SDIY;João Durval Carneiro;Feira de Santana;Bahia;Público;29
SNMX;Aeródromo Público de São Mateus;São Mateus;Espírito Santo;Público;32
SNCX;Colatina;Colatina;Espírito Santo;Público;32
SBBW;Barra do Garças;Barra do Garças;Mato Grosso;Público;51
SBSG;Aeroporto Internacional do Rio Grande do Norte - Governador Aluizio Alves;Natal;Rio Grande do Norte;Público;24
SBNF;Navegantes / Ministro Victor Konder - Internacional;Navegantes;Santa Catarina;Público;42
SBJV;Lauro Carneiro de Loyola;Joinville;Santa Catarina;Público;42
SBSP;Congonhas;São Paulo;São Paulo;Público;35
SBMT;Campo de Marte;São Paulo;São Paulo;Público;35
SBAQ;Bartolomeu de Gusmão;Araraquara;São Paulo;Público;35
SWXQ;Lins;Lins;São Paulo;Público;35
SWGN;Araguaína;Araguaína;Tocantins;Público;17
SNUN;Unaí;Unaí;Minas Gerais;Público;31
SNCP;Aeroporto Regional do Planalto Serrano;Lages;Santa Catarina;Público;42
SSOE;Hélio Wasum;São Miguel do Oeste;Santa Catarina;Público;42
SBPL;Senador Nilo Coelho;Petrolina;Pernambuco;Público;26
SDZG;Pedro Teixeira Castelo Regional Tauá;Tauá;Ceará;Público;23
SDIM;Dr. Antonio Ribeiro Nogueira Júnior;Itanhaém;São Paulo;Público;35
SBJE;Comandante Ariston Pessoa;Cruz;Ceará;Público;23
SBBH;Pampulha - Carlos Drummond de Andrade;Belo Horizonte;Minas Gerais;Público;31
SNDV;Brigadeiro Antônio Cabral;Divinópolis;Minas Gerais;Público;31
SBVG;Major Brigadeiro Trompowsky;Varginha;Minas Gerais;Público;31
SBGV;Coronel Altino Machado;Governador Valadares;Minas Gerais;Público;31
SBCY;Marechal Rondon;Cuiabá;Mato Grosso;Público;51
SBSI;Presidente João Batista Figueiredo;Sinop;Mato Grosso;Público;51
SBMA;João Corrêa da Rocha;Marabá;Pará;Público;15
SBLO;Governador José Richa;Londrina;Paraná;Público;41
SSFB;Paulo Abdala;Francisco Beltrão;Paraná;Público;41
SBRJ;Santos Dumont;Rio de Janeiro;Rio de Janeiro;Público;33
SBCB;Cabo Frio;Cabo Frio;Rio de Janeiro;Público;33
SBJA;Regional Sul;Jaguaruna;Santa Catarina;Público;42
SBSR;Professor Eriberto Manoel Reino;São José do Rio Preto;São Paulo;Público;35
SNKR;Corrente;Corrente;Piauí;Público;22
SWME;Mineiros;Mineiros;Goiás;Público;52
SBSJ;Professor Urbano Erenesto Stumpf;São José dos Campos;São Paulo;Público;35
SDOU;Jornalista Benedito Pimentel;Ourinhos;São Paulo;Público;35
SBBP;Estadual Arthur Siqueira;Bragança Paulista;São Paulo;Público;35
SDAI;Americana;Americana;São Paulo;Público;35
SDPE;Porto Nacional;Porto Nacional;Tocantins;Público;17
SNPY;São Sebastião do Paraíso;São Sebastião do Paraíso;Minas Gerais;Público;31
SNOB;Aeródromo Público de Sobral;Sobral;Ceará;Público;23
SSZR;Luis Alberto Lehr;Santa Rosa;Rio Grande do Sul;Público;43
